borough,easting,latitude,longtitude,northing,numberrcpoints,objectid,siteid,sitename,taxipublicuses,url,runtime
Wandsworth,528361.98497030872,51.441723,-0.154471,173029.59222750511,1,98,978,Outside Block E Du Cane,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Greenwich,542043.32529957255,51.457702,0.043112,175170.90899339889,1,67,816,Westhorne Avenue SE of Kidbrooke Lane,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Lewisham,536432.36967909173,51.475891,-0.036876,177041.56346299726,1,68,829,"2-4 Clifton Rise, SE14",Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Hackney,533655.67728801025,51.567078,-0.073016,187115.14985868323,1,69,852,53 Stamford Hill sth of Lampard Grove,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Haringey,532574.87497450726,51.603498,-0.087082,191139.61077084218,1,70,856,Great Cambridge Road - South of Rivulet Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Haringey,532645.65771157271,51.604826,-0.086004,191289.24459463201,1,71,857,38 Great Cambridge Road ,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Richmond,518211.49767021317,51.464737,-0.299675,175344.64645121171,1,72,879,Richmond Circus - South side ,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Richmond,519356.38383309735,51.467819,-0.283077,175714.27731559193,1,73,882,Lower Richmond Road by Manor Grove ,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Richmond,519540.89836725977,51.468443,-0.280397,175788.0365580169,1,74,883,Lower Richmond Road by Bicester Road ,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Ealing,516316.80881123256,51.533390,-0.324436,182939.62691052392,1,75,887,Westbound offslip on approach to Argyle Road junction - layby near Old Church Lane ,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Hammersmith & Fulham,521647.11898090155,51.514027,-0.248326,180909.98892050498,1,76,888,East of 27/001 there is layby parking ,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Barnet,522967.74654830247,51.581229,-0.226682,188419.38700468116,1,77,891,376-395 Hendon Way ,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Barnet,522883.03908419673,51.583404,-0.227820,188659.34864653862,1,78,893,5 Watford way ,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Barnet,522772.55027383205,51.584891,-0.229357,188822.13231996755,1,79,895,70 Watford Way - opposite side of the road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Southwark,532486.64788130927,51.504720,-0.092493,180145.33830638288,1,80,904,Southwark st east of Redcross way,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Brent,518166.67601759965,51.542085,-0.297440,183949.78825913527,1,81,905,"1-5 Glenmore Parade, Ealing Rd, HA0 4PJ",Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Brent,521667.08059024828,51.533963,-0.247273,183128.72813889472,1,82,906,"29 Station Road, Harlesden, NW10 4UP",Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Wandsworth,522154.56359072676,51.4595324,-0.2431085,174858.61352613859,1,83,917,"Outside & Opposite Theodore, Jansen and Leight House",Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Wandsworth,522174.89739810873,51.4558215,-0.2429583,174446.1963549779,1,84,919,Outside Electrical Sub Station & Queen Mary's Hospital,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Islington,531057.50132961618,51.562072,-0.110713,186490.29111785296,1,85,923,Outside 180 - 182 Seven Sisters Road,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Islington,530971.54100219253,51.561618,-0.111972,186437.55085191148,1,86,925,Outside Medina Court Seven Sisters Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Islington,531212.25906444876,51.561716,-0.108495,186454.67632047855,1,87,930,Opposite 167 - 171 Isledon Road,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Redbridge,543191.48102615471,51.576650,0.065013,188440.68285086472,1,88,933,Outside 347 - 353 Eastern Avenue,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Hounslow,511289.04729896772,51.445784,-0.399996,173079.94916762144,1,89,946,Outside 220 - 246 Uxbridge Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Hounslow,512148.0221173609,51.440447,-0.387823,172504.98929333303,1,90,947,Outside 3 - 7 Market Parade,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Hounslow,521123.83672257024,51.482727,-0.257062,177414.79919751879,1,91,949,Outside 5 - 13 Grantham Road / Burlington Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Sutton,528200.92929085589,51.365615,-0.159846,164556.82652097009,1,92,954,Outside 35 High Street,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Sutton,523396.04985040502,51.370554,-0.228680,164988.07130844367,1,93,955,Outside 477 - 487 London Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Sutton,523510.32562289445,51.371750,-0.226992,165123.90878454584,1,94,958,Outside 524 - 530 London Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Merton,525601.24407393206,51.400819,-0.195808,168409.38839726115,1,95,967,Outside 91 - 103 London Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Merton,525265.78535466606,51.395486,-0.200840,167807.7419216031,1,96,968,Outside 209 - 219 London Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Wandsworth,528271.75979144848,51.439347,-0.155865,172762.93501980905,1,97,973,266 Balham High Road SW17 7BQ ,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Lewisham,539048.62774316466,51.421341,-0.001584,171041.87344149256,1,99,983,Outside 7 Bromley Hill,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Lewisham,539072.72130776639,51.420893,-0.001257,170992.67590779398,1,100,984,Outside 6 - 26 Bromley Hill,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
